title,Adorescore,Emotional Coverage,High Intensity,Medium Intensity,Low Intensity,Joy Index,Trust Index,Interest Index,Surprise Index,Sadness Index,Disgust Index,Anger Index,Apprehension Index
“A teacher affects eternity …” ,20,50.00%,0.00%,15.38%,84.62%,32,22,12,21,0,0,8,37
“There’s always hope to be found” ,45,25.00%,14.29%,28.57%,57.14%,65,32,17,21,0,0,8,0
"“When women move forward, the world moves with them” ",23,40.00%,0.00%,16.67%,83.33%,34,13,17,21,7,0,8,16
$2 billion for Baytown: Inside the investment ,37,41.67%,0.00%,18.18%,81.82%,32,20,37,21,0,0,8,0
10 Things you might not know about natural gas ,-33,33.33%,11.11%,11.11%,77.78%,41,9,0,18,91,2,10,31
20 years of combating malaria ,-70,50.00%,55.56%,11.11%,33.33%,41,9,0,21,88,88,8,93
5 small changes to maximize your car’s fuel ,25,33.33%,0.00%,20.00%,80.00%,41,14,0,21,0,0,8,0
5 small changes to maximize your car’s fuel ,25,33.33%,0.00%,20.00%,80.00%,41,14,0,21,0,0,8,0
8 Tips to drive smarter and save fuel ,61,63.64%,15.38%,23.08%,61.54%,36,71,65,21,0,0,8,0
8 Tips to drive smarter and save fuel ,61,63.64%,15.38%,23.08%,61.54%,36,71,65,21,0,0,8,0
A Better Approach on Climate Change ,-63,55.56%,33.33%,8.33%,58.33%,59,22,25,21,100,100,8,78
A broad carbon tax coalition ,12,62.50%,0.00%,25.00%,75.00%,37,19,26,22,0,49,8,33
A collaboration in curiosity: Client and MIT explore the oceans ,60,42.86%,16.67%,33.33%,50.00%,37,70,60,21,0,0,8,0
"A couple of cadets, a couple of vets, a couple of engineers ",23,23.53%,0.00%,9.09%,90.91%,39,7,10,21,3,0,8,8
A data transformation in America’s energy frontier ,48,45.45%,10.00%,20.00%,70.00%,41,8,87,21,0,0,8,14
A feat of engineering: Illustrating offshore operations ,44,54.55%,0.00%,40.00%,60.00%,44,40,47,18,0,0,8,24
A formal affair ,-44,66.67%,20.00%,20.00%,60.00%,41,9,20,27,39,72,63,20
A framework for regulatory progress on methane reductions ,34,36.36%,0.00%,25.00%,75.00%,34,13,56,21,30,0,8,0
A Humble claim to fame ,51,62.50%,0.00%,38.46%,61.54%,48,38,58,26,0,14,15,0
A hurricane’s aftermath and communities coming back online ,-39,50.00%,16.67%,25.00%,58.33%,35,40,35,21,100,0,8,100
A look inside our energy future ,23,66.67%,0.00%,18.18%,81.82%,40,7,2,21,0,0,8,0
A look inside our energy future ,23,66.67%,0.00%,18.18%,81.82%,40,7,2,21,0,0,8,0
A micro energy transformation spreading across Indonesia ,52,50.00%,11.11%,22.22%,66.67%,41,9,97,20,0,0,8,9
A middle-class boom around the world ,23,54.55%,0.00%,15.38%,84.62%,38,12,11,21,7,0,8,12
A new attitude in Pemberton: Celebrating NMSI ,52,36.36%,11.11%,44.44%,44.44%,73,21,43,21,0,0,8,0
"A new breed of racing, built on new technology ",32,61.54%,0.00%,35.71%,64.29%,36,8,34,21,0,6,8,0
A new collaboration to fight COVID-19 ,-15,55.56%,25.00%,33.33%,41.67%,41,70,39,24,100,16,68,0
A new collaboration to fight COVID-19 ,-15,55.56%,25.00%,33.33%,41.67%,41,70,39,24,100,16,68,0
A partnership for scaling lower-emission innovations ,46,63.64%,5.00%,20.00%,75.00%,29,69,56,28,11,14,8,36
A power greater than Roy G. Biv ,57,40.00%,10.00%,40.00%,50.00%,76,38,42,21,0,0,8,0
